date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:27:10	112155/112155	---M--	200	added ('OK')	image/png	etag:%22614adf79-1b61b%22	http://img202.yun300.cn/repository/image/NFa_uQVLQh6cKd3xNu-YFA.png?tenantId=251718&viewType=1	C:/My%20Websites/xiayu/img202.yun300.cn/repository/image/NFa_uQVLQh6cKd3xNu-YFAc5b9.png	(from http://www.xynmkj.cn/)
14:27:12	397851/397851	---M--	200	added ('OK')	image/png	etag:%226168f818-6121b%22	http://www.xynmkj.cn/repository/image/f7c4349a-28cb-4a06-8874-15b40c2209bf.png	C:/My%20Websites/xiayu/www.xynmkj.cn/repository/image/f7c4349a-28cb-4a06-8874-15b40c2209bf.png	(from http://www.xynmkj.cn/)
14:27:12	184/184	---M--	200	added ('OK')	image/png	date:Wed,%2022%20Sep%202021%2008:14:35%20GMT	https://dfs.yun300.cn/group1/M00/1A/B8/rBQBG2FK5euEbI86AAAAABKe5Pk994.png	C:/My%20Websites/xiayu/dfs.yun300.cn/group1/M00/1A/B8/rBQBG2FK5euEbI86AAAAABKe5Pk994.png	(from http://www.xynmkj.cn/)
14:27:13	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Jun%202022%2006:27:12%20GMT	http://dfs.yun300.cn/group1/M00/1A/B8/rBQBG2FL1LWEHk9jAAAAAEMJFSg155.png	C:/My%20Websites/xiayu/dfs.yun300.cn/group1/M00/1A/B8/rBQBG2FL1LWEHk9jAAAAAEMJFSg155.png	(from http://www.xynmkj.cn/)
14:27:13	1507/1507	---MCZ	200	added ('OK')	image/png	date:Thu,%2023%20Sep%202021%2001:13:25%20GMT	https://dfs.yun300.cn/group1/M00/1A/B8/rBQBG2FL1LWEHk9jAAAAAEMJFSg155.png	C:/My%20Websites/xiayu/dfs.yun300.cn/group1/M00/1A/B8/rBQBG2FL1LWEHk9jAAAAAEMJFSg155.png	(from http://www.xynmkj.cn/)
14:27:15	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Jun%202022%2006:27:14%20GMT	http://dfs.yun300.cn/group1/M00/19/C9/rBQBHF3c4AqEC9w2AAAAAGmyH7Q649.css	C:/My%20Websites/xiayu/dfs.yun300.cn/group1/M00/19/C9/rBQBHF3c4AqEC9w2AAAAAGmyH7Q649.css	(from http://www.xynmkj.cn/)
14:27:17	6709/6709	---MCZ	200	added ('OK')	text/css	date:Tue,%2026%20Nov%202019%2008:19:22%20GMT	https://dfs.yun300.cn/group1/M00/19/C9/rBQBHF3c4AqEC9w2AAAAAGmyH7Q649.css	C:/My%20Websites/xiayu/dfs.yun300.cn/group1/M00/19/C9/rBQBHF3c4AqEC9w2AAAAAGmyH7Q649.css	(from http://www.xynmkj.cn/)
14:27:29	129347/129347	---M--	200	added ('OK')	image/png	etag:%22614d9c10-1f943%22	http://img202.yun300.cn/repository/image/cf73a77c-207f-4617-ae38-86113f4e445d.png?tenantId=251718&viewType=1	C:/My%20Websites/xiayu/img202.yun300.cn/repository/image/cf73a77c-207f-4617-ae38-86113f4e445dc5b9.png	(from http://www.xynmkj.cn/)
14:27:33	96690/96690	---M--	200	added ('OK')	image/png	etag:%22618a4ad2-179b2%22	http://img202.yun300.cn/repository/image/760c1069-671a-4960-9477-c77b23294962.png?tenantId=251718&viewType=1	C:/My%20Websites/xiayu/img202.yun300.cn/repository/image/760c1069-671a-4960-9477-c77b23294962c5b9.png	(from http://www.xynmkj.cn/)
14:27:52	245799/245799	---M--	200	added ('OK')	image/png	etag:%22614d9c10-3c027%22	http://img202.yun300.cn/repository/image/effded6e-5bfd-44c9-9972-15537cd7ec61.png?tenantId=251718&viewType=1	C:/My%20Websites/xiayu/img202.yun300.cn/repository/image/effded6e-5bfd-44c9-9972-15537cd7ec61c5b9.png	(from http://www.xynmkj.cn/)
14:28:12	235761/235761	---M--	200	added ('OK')	image/png	etag:%22614d9ba7-398f1%22	http://img202.yun300.cn/repository/image/fdbc88c6-868f-4928-84b8-2c1e861fb176.png?tenantId=251718&viewType=1	C:/My%20Websites/xiayu/img202.yun300.cn/repository/image/fdbc88c6-868f-4928-84b8-2c1e861fb176c5b9.png	(from http://www.xynmkj.cn/)
14:28:12	268805/268805	---M--	200	added ('OK')	image/png	etag:%22614d9ba7-41a05%22	http://img202.yun300.cn/repository/image/bfa1947c-d1cb-46de-bd30-f322029a68b5.png?tenantId=251718&viewType=1	C:/My%20Websites/xiayu/img202.yun300.cn/repository/image/bfa1947c-d1cb-46de-bd30-f322029a68b5c5b9.png	(from http://www.xynmkj.cn/)
14:28:13	3738/3738	---M--	200	added ('OK')	image/png	etag:%2261aee7cf-e9a%22	http://img202.yun300.cn/img/688a.png?tenantId=251718&viewType=1&k=1638853222000	C:/My%20Websites/xiayu/img202.yun300.cn/img/688a76d9.png	(from http://www.xynmkj.cn/)
14:28:16	51494/51494	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Jun%202022%2006:28:13%20GMT	http://www.xynmkj.cn/news/64.html	C:/My%20Websites/xiayu/www.xynmkj.cn/news/64.html	(from http://www.xynmkj.cn/)
14:28:20	51682/51682	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Jun%202022%2006:28:16%20GMT	http://www.xynmkj.cn/news/63.html	C:/My%20Websites/xiayu/www.xynmkj.cn/news/63.html	(from http://www.xynmkj.cn/)
14:28:22	196932/196932	---M--	200	added ('OK')	image/png	etag:%22614d9ba7-30144%22	http://img202.yun300.cn/repository/image/e4d291ea-572d-468f-87fa-b38c55b8a850.png?tenantId=251718&viewType=1	C:/My%20Websites/xiayu/img202.yun300.cn/repository/image/e4d291ea-572d-468f-87fa-b38c55b8a850c5b9.png	(from http://www.xynmkj.cn/)
